"","Rank","Year","Title","Artist","Lyrics"
"1949",49,"1991","P.A.S.S.I.O.N.","Rhythm Syndicate","Sitting in my bedroom the rain is pouring down
The shade is on the window and loneliness is all around
A little voice I'm hearing says don't you stay inside
But I can't fight this feeling got L.U.S.T. on my mind

I head for the arena where lovers try their fate
Moving through the darkness I take my place and wait
A pretty bird beside me says hello with her eyes
She looks so sweet and lovely but is she N.A.S.T.Y?

CHORUS
P.A.S.S.I.O.N.
Got me in a jam again
There's no way that I can win
P.A.S.S.I.O.N.

Her lips are callin to me no way I can resist
Addicted to the feeling intoxicated by her kiss
I take her to my castle we set our bodies free
And while the music played on she loved me down from A to Z

The night is getting longer I start to realise
Don't know what I've got into the girl is C.R.A.Z.Y.
I try to cool the fire like I oughta should
But there's no way to turn back the S.E.X. is just too good

Chorus

Don't be tempted to touch the fire
I shouldve read all the warning signs
You might get burned by your own desire
I lost my mind I must have been blind

I never knew another lover that was evil under cover
Then I discovered you girl, you're like no other
Doin the time for the crime I was blind
To the games that you were playin
Words that you were sayin
Goin out of my mind, you're like a hurricane
Drive me insane you're like a heart attack
Know it's a fact, you got the knack to drop a man to his knees

Chorus"
"1950",50,"1991","The Dream Is Still Alive","Wilson Phillips","Not so long ago we were so in phase
You and I could never forget the days
But then the fire seemed to flickerCold wind came and it carried us away
But we'll get back someday, baby

The dream is still alive
Look here in my eyes
Can you see what I'm feeling?
The dream is still alive
The one of you and I
And my heartache is healing
I couldn't let it die
No I knew it would survive
The dream is still alive

Not so long ago in a purple haze
People dreamed out loud they were not afraid
They stopped the war but not the dying
Some got a little bit lost along the way
But somehow we're here today
And we say

The dream is still alive
After all this time
The flame keeps on burning
The dream is still alive
The one of you and I
And my heart keeps returning
I couldn't let it die
No I knew it would survive
The dream is, the dream is still alive

Oh yeah.

The dream is still alive
Look here in my eyes
Can you see what I'm feeling
The dream is still alive
The one of you and I
And my heartache is healing
I couldn't let it die
For all the times we tried
The dream is still alive"
"1951",51,"1991","Temptation","Corina",""
"1952",52,"1991","Going Through The Motions","Aftershock",""
"1953",53,"1991","See The Lights","Simple Minds",""
"1954",54,"1991","Life Goes On","Poison",""
"1955",55,"1991","You Can't Play With My Yo-Yo","Yo-Yo Featuring Ice Cube",""
"1956",56,"1991","I'll Be There","The Escape Club",""
"1957",57,"1991","Come Again","Damn Yankees",""
"1958",58,"1991","It's A Shame (My Sister)","Monie Love Featuring True Image",""
"1959",59,"1991","Exclusivity","Damian Dame",""
"1960",60,"1991","Part Of Me, Part Of You","Glenn Frey",""
"1961",61,"1991","Kissing You","Keith Washington",""
"1962",62,"1991","Save Some Love","Keedy",""
"1963",63,"1991","This Time Make It Funky","Tracie Spencer",""
"1964",64,"1991","It Ain't Over 'til It's Over","Lenny Kravitz",""
"1965",65,"1991","Kisses In The Night","Brandon",""
"1966",66,"1991","Over And Over","Timmy T.",""
"1967",67,"1991","I've Been Thinking About You","Londonbeat",""
"1968",68,"1991","Whatever You Want","Tony Toni Tone",""
"1969",69,"1991","Hold You Tight","Tara Kemp",""
"1970",70,"1991","Round And Round","Tevin Campbell",""
"1971",71,"1991","I Don't Want To Lose Your Love","B Angie B",""
"1972",72,"1991","You're In Love","Wilson Phillips",""
"1973",73,"1991","Nights Like This (From ""The Five Heartbeats"")","After 7",""
"1974",74,"1991","Higher Than Hope","Daryl Braithwaite",""
"1975",75,"1991","Can I Call You My Girl","PC Quest",""
"1976",76,"1991","Where The Streets Have No Name","Pet Shop Boys",""
"1977",77,"1991","Elevate My Mind","Stereo MC's",""
"1978",78,"1991","Feel The Groove","Cartouche",""
"1979",79,"1991","Wind Of Change","Scorpions",""
"1980",80,"1991","Iesha","Another Bad Creation",""
"1981",81,"1991","Ooh La La","David Hallyday",""
"1982",82,"1991","Love Desire","Sandee",""
"1983",83,"1991","Just The Way It Is, Baby","The Rembrandts",""
"1984",84,"1991","Dirty Love","Thunder",""
"1985",85,"1991","My Body Says Yes","Titiyo",""
"1986",86,"1991","New Jack Hustler (Nino's Theme) (From ""New Jack City"")","Ice-T",""
"1987",87,"1991","Forever Amo'r","D'zyre",""
"1988",88,"1991","Someone","The Rembrandts",""
"1989",89,"1991","Lift Me Up","Yes",""
"1990",90,"1991","Can't Forget You","Gloria Estefan",""
"1991",91,"1991","Together Forever","Lisette Melendez",""
"1992",92,"1991","What A Price To Pay","Michael Damian",""
"1993",93,"1991","Crazy","Daisy Dee",""
"1994",94,"1991","Surrender","Trixter",""
"1995",95,"1991","Mercy Mercy Me (The Ecology)/I Want You","Robert Palmer",""
"1996",96,"1991","How Much Is Enough","The Fixx",""
"1997",97,"1991","One More Try","Timmy T.",""
"1998",98,"1991","Something In My Heart","Michel'le",""
"1999",99,"1991","Sadeness Part 1","Enigma",""
"2000",100,"1991","Bitter Tears","INXS",""
"2001",1,"1992","Jump","Kris Kross",""
"2002",2,"1992","Under The Bridge","Red Hot Chili Peppers",""
"2003",3,"1992","My Lovin' (You're Never Gonna Get It)","En Vogue",""
"2004",4,"1992","I'll Be There","Mariah Carey",""
"2005",5,"1992","Baby Got Back","Sir Mix-A-Lot",""
"2006",6,"1992","Live And Learn","Joe Public",""
"2007",7,"1992","Damn I Wish I Was Your Lover","Sophie B. Hawkins",""
"2008",8,"1992","In The Closet","Michael Jackson",""
"2009",9,"1992","If You Asked Me To","Celine Dion",""
"2010",10,"1992","Ain't 2 Proud 2 Beg","TLC",""
"2011",11,"1992","Tennessee","Arrested Development",""
"2012",12,"1992","Achy Breaky Heart","Billy Ray Cyrus",""
"2013",13,"1992","Save The Best For Last","Vanessa Williams",""
"2014",14,"1992","Hold On My Heart","Genesis",""
"2015",15,"1992","Tears In Heaven","Eric Clapton",""
"2016",16,"1992","Bohemian Rhapsody","Queen",""
"2017",17,"1992","Everything About You","Ugly Kid Joe",""
"2018",18,"1992","One","U2",""
"2019",19,"1992","The Best Things In Life Are Free","Luther Vandross And Janet Jackson With BBD And Ralph Tresvant",""
"2020",20,"1992","Thought I'd Died And Gone To Heaven","Bryan Adams",""
"2021",21,"1992","Just Take My Heart","Mr. Big",""
"2022",22,"1992","Let's Get Rocked","Def Leppard",""
"2023",23,"1992","You Won't See Me Cry","Wilson Phillips",""
"2024",24,"1992","Just Another Day","Jon Secada",""
"2025",25,"1992","Slow Motion","Color Me Badd",""
"2026",26,"1992","I Will Remember You","Amy Grant",""
"2027",27,"1992","Come & Talk To Me","Jodeci",""
"2028",28,"1992","Hazard","Richard Marx",""
"2029",29,"1992","Do It To Me","Lionel Richie",""
"2030",30,"1992","Make It Happen","Mariah Carey",""
"2031",31,"1992","Wishing On A Star","The Cover Girls",""
"2032",32,"1992","Nu Nu","Lidell Townsell",""
"2033",33,"1992","Lift Me Up","Howard Jones",""
"2034",34,"1992","Life Is A Highway","Tom Cochrane",""
"2035",35,"1992","T.L.C.","Linear",""
"2036",36,"1992","Will You Marry Me?","Paula Abdul",""
"2037",37,"1992","Not The Only One","Bonnie Raitt",""
"2038",38,"1992","Silent Prayer","Shanice",""
"2039",39,"1992","Masterpiece","Atlantic Starr",""
"2040",40,"1992","They Want EFX","Das EFX",""
"2041",41,"1992","Everything Changes","Kathy Troccoli",""
"2042",42,"1992","Breakin' My Heart (Pretty Brown Eyes)","Mint Condition",""
"2043",43,"1992","High","The Cure",""
"2044",44,"1992","Why Me Baby?","Keith Sweat",""
"2045",45,"1992","I'm The One You Need","Jody Watley",""
"2046",46,"1992","I Can't Dance","Genesis",""
"2047",47,"1992","Money Don't Matter 2 Night","Prince And The N.P.G.",""
"2048",48,"1992","Your Song","Rod Stewart",""
"2049",49,"1992","Just For Tonight","Vanessa Williams",""
"2050",50,"1992","Innocent Child","Colourhaus",""
"2051",51,"1992","Anything At All","Mitch Malloy",""
"2052",52,"1992","Remember The Time","Michael Jackson",""
"2053",53,"1992","Maria","TKA",""
"2054",54,"1992","Please Don't Go","Boyz II Men",""
"2055",55,"1992","Closer To Me","The Outfield",""
"2056",56,"1992","Come As You Are","Nirvana",""
"2057",57,"1992","Keep On Walkin'","CeCe Peniston",""
"2058",58,"1992","Love Me","Tracie Spencer",""
"2059",59,"1992","Helluva","Brotherhood Creed",""
"2060",60,"1992","You Think You Know Her","Cause And Effect",""
"2061",61,"1992","Smells Like Nirvana","""Weird Al"" Yankovic",""
"2062",62,"1992","Take Time","Chris Walker",""
"2063",63,"1992","3-2-1 Pump","Redhead Kingpin & The F.B.I.",""
"2064",64,"1992","Why","Annie Lennox",""
"2065",65,"1992","Fall In Love Again","Eddie Money",""
"2066",66,"1992","Sometimes I Rhyme Slow","Nice & Smooth",""
"2067",67,"1992","We Got A Love Thang","CeCe Peniston",""
"2068",68,"1992","Never Satisfied","Good 2 Go",""
"2069",69,"1992","Human Touch/Better Days","Bruce Springsteen",""
"2070",70,"1992","This Is The Last Time","Laura Enea",""
"2071",71,"1992","What Goes Around Comes Around","Giggles",""
"2072",72,"1992","Honey Love","R. Kelly & Public Announcement",""
"2073",73,"1992","The Choice Is Yours","Black Sheep",""
"2074",74,"1992","Don't Be Afraid","Aaron Hall",""
"2075",75,"1992","Nothing Else Matters","Metallica",""
"2076",76,"1992","Everything's Gonna Be Alright","Naughty By Nature",""
"2077",77,"1992","All Woman","Lisa Stansfield",""
"2078",78,"1992","If You Want It","2nd II None",""
"2079",79,"1992","Boom! I Got Your Boyfriend","MC Luscious",""
"2080",80,"1992","James Brown Is Dead","L.A. Style",""
"2081",81,"1992","Victim Of The Ghetto","The College Boyz",""
"2082",82,"1992","Love You All My Lifetime","Chaka Khan",""
"2083",83,"1992","Thinkin' Back","Color Me Badd",""
"2084",84,"1992","Baby Hold On To Me","Gerald Levert (Duet With Eddie Levert)",""
"2085",85,"1992","Goodbye","Tevin Campbell",""
"2086",86,"1992","Baby-Baby-Baby","TLC",""
"2087",87,"1992","Missing You Now","Michael Bolton",""
"2088",88,"1992","You Showed Me","Salt-N-Pepa",""
"2089",89,"1992","I Wanna Rock","Luke",""
"2090",90,"1992","Set Me Free","Clubland Featuring Zemya Hamilton",""
"2091",91,"1992","Strawberry Letter 23","Tevin Campbell",""
"2092",92,"1992","Warm It Up","Kris Kross",""
"2093",93,"1992","Scenario","A Tribe Called Quest",""
"2094",94,"1992","Mama, I'm Coming Home","Ozzy Osbourne",""
"2095",95,"1992","Giving Him Something He Can Feel","En Vogue",""
"2096",96,"1992","This Is The Way We Roll","M.C. Hammer",""
"2097",97,"1992","All You've Got","RTZ",""
"2098",98,"1992","Bad Bad Boys","Midi Maxi & Efti",""
"2099",99,"1992","Can't Cry Hard Enough","The Williams Brothers",""
"2100",100,"1992","Take My Advice","Kym Sims",""
"2101",1,"1993","That's The Way Love Goes","Janet Jackson",""
"2102",2,"1993","Freak Me","Silk",""
"2103",3,"1993","Knockin' Da Boots","H-Town",""
"2104",4,"1993","Weak","SWV",""
"2105",5,"1993","Love Is (From ""Beverly Hills, 90210"")","Vanessa Williams/Brian McKnight",""
"2106",6,"1993","I'm So Into You","SWV",""
"2107",7,"1993","Looking Through Patient Eyes","P.M. Dawn",""
"2108",8,"1993","Show Me Love","Robin S.",""
"2109",9,"1993","Have I Told You Lately","Rod Stewart",""
"2110",10,"1993","Bad Boys (Theme From ""Cops"")","Inner Circle",""
"2111",11,"1993","Come Undone","Duran Duran",""
"2112",12,"1993","Nuthin' But A ""G"" Thang","Dr. Dre",""
"2113",13,"1993","Don't Walk Away","Jade",NA
"2114",14,"1993","Ditty","Paperboy",NA
"2115",15,"1993","I'll Never Get Over You (Getting Over Me)","Expose",NA
"2116",16,"1993","I Have Nothing","Whitney Houston",NA
"2117",17,"1993","Dre Day","Dr. Dre",NA
"2118",18,"1993","Livin' On The Edge","Aerosmith",NA
"2119",19,"1993","Two Princes","Spin Doctors",NA
"2120",20,"1993","Three Little Pigs","Green Jelly",NA
"2121",21,"1993","Who Is It","Michael Jackson",NA
"2122",22,"1993","Connected","Stereo MC's",NA
"2123",23,"1993","Informer","Snow",NA
"2124",24,"1993","Nothin' My Love Can't Fix","Joey Lawrence",NA
"2125",25,"1993","More And More","Captain Hollywood Project",NA
"2126",26,"1993","Dazzey Duks","Duice",NA
"2127",27,"1993","Angel","Jon Secada",NA
"2128",28,"1993","Comforter","Shai",NA
"2129",29,"1993","It Was A Good Day","Ice Cube",NA
"2130",30,"1993","In These Arms","Bon Jovi",NA
"2131",31,"1993","Hip Hop Hooray","Naughty By Nature",NA
"2132",32,"1993","Sleeping Satellite","Tasmin Archer",NA
"2133",33,"1993","Girl, I've Been Hurt","Snow",NA
"2134",34,"1993","Somebody To Love","George Michael & Queen",NA
"2135",35,"1993","Dedicated","R. Kelly & Public Announcement",NA
"2136",36,"1993","Wannagirl","Jeremy Jordan",NA
"2137",37,"1993","Can't Help Falling In Love (From ""Sliver"")","UB40",NA
"2138",38,"1993","Regret","New Order",NA
"2139",39,"1993","What's Up","4 Non Blondes",NA
"2140",40,"1993","Down With The King","Run-D.M.C.",NA
"2141",41,"1993","That's What Love Can Do","Boy Krazy",NA
"2142",42,"1993","If I Ever Lose My Faith In You","Sting",NA
"2143",43,"1993","Whoomp! (There It Is)","Tag Team",NA
"2144",44,"1993","I'm Every Woman (From ""The Bodyguard"")","Whitney Houston",NA
"2145",45,"1993","Cat's In The Cradle","Ugly Kid Joe",NA
"2146",46,"1993","By The Time This Night Is Over","Kenny G With Peabo Bryson",NA
"2147",47,"1993","The Crying Game (From ""The Crying Game"")","Boy George",NA
"2148",48,"1993","Six Feet Deep","Geto Boys",NA
"2149",49,"1993","Ordinary World","Duran Duran",NA
"2150",50,"1993","Love Don't Love You","En Vogue",NA
"2151",51,"1993","I'm Gonna Get You","Bizarre Inc",NA
"2152",52,"1993","If I Could","Regina Belle",NA
"2153",53,"1993","Hero","David Crosby & Phil Collins",NA
"2154",54,"1993","Passin' Me By","The Pharcyde",NA
"2155",55,"1993","Love No Limit","Mary J. Blige",NA
"2156",56,"1993","So Alone","Men At Large",NA
"2157",57,"1993","The Floor","Johnny Gill",NA
"2158",58,"1993","Tell Me What You Dream","Restless Heart Featuring Warren Hill",NA
"2159",59,"1993","Touch My Light","Big Mountain",NA
"2160",60,"1993","Bed Of Roses","Bon Jovi",NA
"2161",61,"1993","Whoot, There It Is","95 South",NA
"2162",62,"1993","Can't Get Enough Of Your Love","Taylor Dayne",NA
"2163",63,"1993","Slam","Onyx",NA
"2164",64,"1993","Simple Life","Elton John",NA
"2165",65,"1993","Sweet Thing","Mary J. Blige",NA
"2166",66,"1993","I Don't Wanna Fight (From ""What's Love Got To Do With It"")","Tina Turner",NA
"2167",67,"1993","Tap The Bottle","Young Black Teenagers",NA
"2168",68,"1993","No Ordinary Love","Sade",NA
"2169",69,"1993","Little Miracles (Happen Every Day)","Luther Vandross",NA
"2170",70,"1993","Typical Reasons (Swing My Way)","Prince Markie Dee And The Soul Convention",NA
"2171",71,"1993","Silence Is Broken (From ""Nowhere To Run"")","Damn Yankees",NA
"2172",72,"1993","That's The Way Love Is","Bobby Brown",NA
"2173",73,"1993","Let's Go Through The Motions (From ""Who's The Man?"")","Jodeci",NA
"2174",74,"1993","Alibis","Tracy Lawrence",NA
"2175",75,"1993","Deeper","Boss",NA
"2176",76,"1993","I See Your Smile","Gloria Estefan",NA
"2177",77,"1993","I Love The Way You Love Me","John Michael Montgomery",NA
"2178",78,"1993","Cry No More","II D Extreme",NA
"2179",79,"1993","Love U More","Sunscreem",NA
"2180",80,"1993","Every Little Thing U Do","Christopher Williams",NA
"2181",81,"1993","Buddy X","Neneh Cherry",NA
"2182",82,"1993","The Morning Papers","Prince And The New Power Generation",NA
"2183",83,"1993","Don't Take Away My Heaven","Aaron Neville",NA
"2184",84,"1993","Walking In My Shoes","Depeche Mode",NA
"2185",85,"1993","Fields Of Gold","Sting",NA
"2186",86,"1993","Good Times With Bad Boys","Boy Krazy",NA
"2187",87,"1993","Supermodel (You Better Work)","RuPaul",NA
"2188",88,"1993","ABC-123","Levert",NA
"2189",89,"1993","One Woman","Jade",NA
"2190",90,"1993","Voice Of Freedom","Freedom Williams",NA
"2191",91,"1993","Give Him A Love He Can Feel","Tene Williams",NA
"2192",92,"1993","It's My Life","Dr. Alban",NA
"2193",93,"1993","Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")","Baltimora",NA
"2194",94,"1993","Something's Goin' On","U.N.V.",NA
"2195",95,"1993","Romeo","Dolly Parton & Friends",NA
"2196",96,"1993","Baby I'm Yours","Shai",NA
"2197",97,"1993","Funky Child","Lords Of The Underground",NA
"2198",98,"1993","Feed The Tree","Belly",NA
"2199",99,"1993","Who's The Man? (From ""Who's The Man"")","House Of Pain",NA
"2200",100,"1993","Gold Diggin' Girls","MC Nas-D & DJ Fred",NA
"2201",1,"1994","I Swear","All-4-One",NA
"2202",2,"1994","I'll Remember (From ""With Honors"")","Madonna",NA
"2203",3,"1994","Any Time, Any Place/And On And On","Janet Jackson",NA
"2204",4,"1994","Regulate (From ""Above The Rim"")","Warren G & Nate Dogg",NA
"2205",5,"1994","The Sign","Ace Of Base",NA
"2206",6,"1994","Don't Turn Around","Ace Of Base",NA
"2207",7,"1994","Baby I Love Your Way (From ""Reality Bites"")","Big Mountain",NA
"2208",8,"1994","The Most Beautiful Girl In The World","Prince",NA
"2209",9,"1994","You Mean The World To Me","Toni Braxton",NA
"2210",10,"1994","Back & Forth","Aaliyah",NA
"2211",11,"1994","Return To Innocence","Enigma",NA
"2212",12,"1994","If You Go","Jon Secada",NA
"2213",13,"1994","Your Body's Callin'","R. Kelly",NA
"2214",14,"1994","I'm Ready","Tevin Campbell",NA
"2215",15,"1994","Bump N' Grind","R. Kelly",NA
"2216",16,"1994","Stay (I Missed You) (From ""Reality Bites"")","Lisa Loeb & Nine Stories",NA
"2217",17,"1994","Don't Take The Girl","Tim McGraw",NA
"2218",18,"1994","Anything (From ""Above The Rim"")","SWV",NA
"2219",19,"1994","Beautiful In My Eyes","Joshua Kadison",NA
"2220",20,"1994","Anytime You Need A Friend","Mariah Carey",NA
"2221",21,"1994","Can You Feel The Love Tonight (From ""The Lion King"")","Elton John",NA
"2222",22,"1994","Now And Forever","Richard Marx",NA
"2223",23,"1994","Loser","Beck",NA
"2224",24,"1994","Mmm Mmm Mmm Mmm","Crash Test Dummies",NA
"2225",25,"1994","The Power Of Love","Celine Dion",NA
"2226",26,"1994","I'll Take You There (From ""Threesome"")","General Public",NA
"2227",27,"1994","Shine","Collective Soul",NA
"2228",28,"1994","Misled","Celine Dion",NA
"2229",29,"1994","Without You/Never Forget You","Mariah Carey",NA
"2230",30,"1994","Got Me Waiting","Heavy D & The Boyz",NA
"2231",31,"1994","Whatta Man","Salt-N-Pepa Featuring En Vogue",NA
"2232",32,"1994","Sweet Potatoe Pie","Domino",NA
"2233",33,"1994","(Meet) The Flintstones (From ""The Flintstones"")","The B.C. 52's",NA
"2234",34,"1994","Always","Erasure",NA
"2235",35,"1994","Come To My Window","Melissa Etheridge",NA
"2236",36,"1994","Streets Of Philadelphia (From ""Philadelphia"")","Bruce Springsteen",NA
"2237",37,"1994","Pumps And A Bump","M.C. Hammer",NA
"2238",38,"1994","Objects In The Rear View Mirror May Appear Closer Than...","Meat Loaf",NA
"2239",39,"1994","Breathe Again","Toni Braxton",NA
"2240",40,"1994","Love Sneakin' Up On You","Bonnie Raitt",NA
"2241",41,"1994","I Miss You","Aaron Hall",NA
"2242",42,"1994","Moving On Up","M People",NA
"2243",43,"1994","Funkdafied","Da Brat",NA
"2244",44,"1994","And Our Feelings","Babyface",NA
"2245",45,"1994","Crazy","Aerosmith",NA
"2246",46,"1994","Found Out About You","Gin Blossoms",NA
"2247",47,"1994","Ease My Mind","Arrested Development",NA
"2248",48,"1994","(She's) Some Kind Of Wonderful","Huey Lewis & The News",NA
"2249",49,"1994","Everyday","Phil Collins",NA
"2250",50,"1994","Bizarre Love Triangle","FRENTE!",NA
"2251",51,"1994","Wild Night","John Mellencamp With Me'Shell Ndegeocello",NA
"2252",52,"1994","I Wish","Gabrielle",NA
"2253",53,"1994","Worker Man","Patra",NA
"2254",54,"1994","You Know How We Do It","Ice Cube",NA
"2255",55,"1994","Dreams","The Cranberries",NA
"2256",56,"1994","Born To Roll","Masta Ace Incorporated",NA
"2257",57,"1994","Love On My Mind","Xscape",NA
"2258",58,"1994","Gin And Juice","Snoop Doggy Dogg",NA
"2259",59,"1994","Sending My Love","Zhane",NA
"2260",60,"1994","Willing To Forgive","Aretha Franklin",NA
"2261",61,"1994","Back In The Day","Ahmad",NA
"2262",62,"1994","Because Of Love","Janet Jackson",NA
"2263",63,"1994","Fantastic Voyage","Coolio",NA
"2264",64,"1994","Feenin'","Jodeci",NA
"2265",65,"1994","How Do You Like It?","Keith Sweat",NA
"2266",66,"1994","Part Time Lover/I'm Still In Love With You","H-Town/Al B. Sure!",NA
"2267",67,"1994","100% Pure Love","Crystal Waters",NA
"2268",68,"1994","Leaving Las Vegas","Sheryl Crow",NA
"2269",69,"1994","Player's Ball","OutKast",NA
"2270",70,"1994","Comin' On Strong","Sudden Change",NA
"2271",71,"1994","The Place Where You Belong (From ""Beverly Hills Cop III"")","Shai",NA
"2272",72,"1994","Night In My Veins","Pretenders",NA
"2273",73,"1994","Crooklyn (From ""Crooklyn"")","The Crooklyn Dodgers",NA
"2274",74,"1994","Regular Thang","Ovis",NA
"2275",75,"1994","Closer","Nine Inch Nails",NA
"2276",76,"1994","Indian Outlaw","Tim McGraw",NA
"2277",77,"1994","Somethin' To Ride To (Fonky Expedition)","The Conscious Daughters",NA
"2278",78,"1994","Fall Down","Toad The Wet Sprocket",NA
"2279",79,"1994","Possession","Sarah McLachlan",NA
"2280",80,"1994","Whenever You Come Around","Vince Gill",NA
"2281",81,"1994","Completely","Michael Bolton",NA
"2282",82,"1994","The More You Ignore Me, The Closer I Get","Morrissey",NA
"2283",83,"1994","Prayer For The Dying","Seal",NA
"2284",84,"1994","Selling The Drama","Live",NA
"2285",85,"1994","Leavin'","Tony Toni Tone",NA
"2286",86,"1994","You","Candlebox",NA
"2287",87,"1994","I Swear","John Michael Montgomery",NA
"2288",88,"1994","Low","Cracker",NA
"2289",89,"1994","Backwater","Meat Puppets",NA
"2290",90,"1994","I'll Remember You","Atlantic Starr",NA
"2291",91,"1994","I Want You","Juliet Roberts",NA
"2292",92,"1994","Rock And Roll Dreams Come Through","Meat Loaf",NA
"2293",93,"1994","C.R.E.A.M. (Cash Rules Everything Around Me)","Wu-Tang Clan",NA
"2294",94,"1994","I Need Your Love","Boston",NA
"2295",95,"1994","Hey D.J. (From ""Mi Vida Loca"")","Lighter Shade Of Brown",NA
"2296",96,"1994","I Got Cha Opin","Black Moon",NA
"2297",97,"1994","Bucktown","Smif-N-Wessun",NA
"2298",98,"1994","I've Been Thinking About You","Jocelyn Enriquez",NA
"2299",99,"1994","It's All Good","M.C. Hammer",NA
"2300",100,"1994","I Believe","The Sounds Of Blackness",NA
"2301",1,"1995","Have You Ever Really Loved A Woman?","Bryan Adams",NA
"2302",2,"1995","This Is How We Do It","Montell Jordan",NA
"2303",3,"1995","Total Eclipse Of The Heart","Nicki French",NA
"2304",4,"1995","Water Runs Dry","Boyz II Men",NA
"2305",5,"1995","Don't Take It Personal (Just One Of Dem Days)","Monica",NA
"2306",6,"1995","I'll Be There For You/You're All I Need To Get By","Method Man Featuring Mary J. Blige",NA
"2307",7,"1995","Freak Like Me","Adina Howard",NA
"2308",8,"1995","I Believe","Blessid Union Of Souls",NA
"2309",9,"1995","I Know","Dionne Farris",NA
"2310",10,"1995","Let Her Cry","Hootie & The Blowfish",NA
"2311",11,"1995","Red Light Special","TLC",NA
"2312",12,"1995","Keep Their Heads Ringin' (From ""Friday"")","Dr. Dre",NA
"2313",13,"1995","Can't You See (From ""New Jersey Drive"")","Total Featuring The Notorious B.I.G.",NA
"2314",14,"1995","Dear Mama/Old School","2Pac",NA
"2315",15,"1995","Run Away","Real McCoy",NA
"2316",16,"1995","Shy Guy (From ""Bad Boys"")","Diana King",NA
"2317",17,"1995","Hold On","Jamie Walters",NA
"2318",18,"1995","Run-Around","Blues Traveler",NA
"2319",19,"1995","Every Little Thing I Do","Soul For Real",NA
"2320",20,"1995","In The House Of Stone And Light","Martin Page",NA
"2321",21,"1995","Believe","Elton John",NA
"2322",22,"1995","Someone To Love","Jon B. Featuring Babyface",NA
"2323",23,"1995","No More ""I Love You's""","Annie Lennox",NA
"2324",24,"1995","Ask Of You (From ""Higher Learning"")","Raphael Saadiq",NA
"2325",25,"1995","Candy Rain","Soul For Real",NA
"2326",26,"1995","Hold My Hand","Hootie & The Blowfish",NA
"2327",27,"1995","Take A Bow","Madonna",NA
"2328",28,"1995","Give It 2 You","Da Brat",NA
"2329",29,"1995","Dream About You/Funky Melody","Stevie B",NA
"2330",30,"1995","Can't Stop Lovin' You","Van Halen",NA
"2331",31,"1995","Strong Enough","Sheryl Crow",NA
"2332",32,"1995","Cotton Eye Joe","Rednex",NA
"2333",33,"1995","December","Collective Soul",NA
"2334",34,"1995","This Ain't A Love Song","Bon Jovi",NA
"2335",35,"1995","You Gotta Be","Des'ree",NA
"2336",36,"1995","Big Poppa/Warning","The Notorious B.I.G.",NA
"2337",37,"1995","I Like","Kut Klose",NA
"2338",38,"1995","Another Night","Real McCoy",NA
"2339",39,"1995","Waterfalls","TLC",NA
"2340",40,"1995","Baby","Brandy",NA
"2341",41,"1995","Wonderful","Adam Ant",NA
"2342",42,"1995","Creep","TLC",NA
"2343",43,"1995","Like The Way I Do/If I Wanted To","Melissa Etheridge",NA
"2344",44,"1995","If You Love Me","Brownstone",NA
"2345",45,"1995","I Live My Life For You","Firehouse",NA
"2346",46,"1995","Come And Get Your Love","Real McCoy",NA
"2347",47,"1995","Strange Currencies","R.E.M.",NA
"2348",48,"1995","Crazy Love (From ""Jason's Lyric"")","Brian McKnight",NA
"2349",49,"1995","Boombastic/In The Summertime","Shaggy",NA
"2350",50,"1995","Close To You","Fun Factory",NA
"2351",51,"1995","Freedom (From ""Panther"")","Various Artists",NA
"2352",52,"1995","Best Friend","Brandy",NA
"2353",53,"1995","When You Say Nothing At All","Alison Krauss + Union Station",NA
"2354",54,"1995","This Lil' Game We Play","Subway (Featuring 702)",NA
"2355",55,"1995","Leave Virginia Alone","Rod Stewart",NA
"2356",56,"1995","I'd Rather Be Alone","IV Xample",NA
"2357",57,"1995","Emotions","H-Town",NA
"2358",58,"1995","Sick Of Myself","Matthew Sweet",NA
"2359",59,"1995","Grapevyne","Brownstone",NA
"2360",60,"1995","Baby Baby","Corona",NA
"2361",61,"1995","Feel Me Flow","Naughty By Nature",NA
"2362",62,"1995","I Got 5 On It","Luniz",NA
"2363",63,"1995","Thank You","Boyz II Men",NA
"2364",64,"1995","Connection","Elastica",NA
"2365",65,"1995","I'm Goin' Down","Mary J. Blige",NA
"2366",66,"1995","Until The End Of Time","Foreigner",NA
"2367",67,"1995","The Way That You Love","Vanessa Williams",NA
"2368",68,"1995","Move It Like This","K7",NA
"2369",69,"1995","I'll Be Around","Rappin' 4-Tay Featuring The Spinners",NA
"2370",70,"1995","So In Love With You","U.N.V.",NA
"2371",71,"1995","Think Of You","Usher",NA
"2372",72,"1995","I Kissed A Girl","Jill Sobule",NA
"2373",73,"1995","I Saw You Dancing","Yaki-Da",NA
"2374",74,"1995","Any Man Of Mine/Whose Bed Have Your Boots Been Under?","Shania Twain",NA
"2375",75,"1995","Joy","BLACKstreet",NA
"2376",76,"1995","It's Good To Be King","Tom Petty",NA
"2377",77,"1995","Everlasting Love","Gloria Estefan",NA
"2378",78,"1995","Froggy Style","Nuttin' Nyce",NA
"2379",79,"1995","I Wish","Skee-Lo",NA
"2380",80,"1995","Freak Me Baby","Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",NA
